asset_id,semantic_name,description,batch,batch_id,source,source_truth,path,sha256,width,height,size_px,alpha_extrema,status,family,frame_index,frame_count,loop_role,ppu,pivot,pivot_hint,sorting_layer,sorting_layer_hint,collider_policy,unity_gate,review_decision,agent_notes,alpha_bbox,edge_nontransparent_pixels,candidate_version,source_sheet,stable_base,interior_mask,alpha_sheet,source_cell_box
thecat_map_cat_room_dream_portal_animation_frame_06_batch94_candidate_v004,dream_portal_idle_loop_frame_06,"Stable Batch91 dream entrance portal shell with loopable inner teal glow, mist, and star twinkles; no character body art. v004 cleans alpha<=2 key-color residue from v003.",batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,Batch91 accepted dream entrance portal semantic sprite; Batch94 built-in imagegen source explored animation style; Qr1 UI/style local working copy; no character/body art,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\semantic_sprites\thecat_map_cat_room_dream_portal_animation_frame_06_batch94_candidate_v004.png,7444bd8676b45e155f1197782ddcb8fea766946a848d62c32c2947ff9122c695,512,512,512x512,0-255,candidate_complete_pending_unity_loop_review,map_vfx_animation,6,12,seamless_portal_idle_loop,100,bottom-center,bottom-center,map_interactable_vfx_above_portal,map_interactable_vfx_above_portal,none_animation_overlay_use_static_portal_hitbox,"import as 12 Sprite Single frames or sliced sheet; verify loop jitter, portal scale, sorting, and no collider duplication in cat-room screenshots",candidate_keep_pending_unity_loop_review,v004 final candidate: v003 visual P1 closed with PASS_WITH_P2; v004 production QA PASS_WITH_P2 after alpha<=2 residue cleanup and superseded version isolation. Unity loop/scale/sorting gate remains open.,"80,52,431,438",0,v004,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_chromakey_source_v001.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_interior_mask_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_alpha_sheet_v001.png,procedural_from_stable_batch91_base
thecat_map_cat_room_dream_portal_animation_frame_07_batch94_candidate_v004,dream_portal_idle_loop_frame_07,"Stable Batch91 dream entrance portal shell with loopable inner teal glow, mist, and star twinkles; no character body art. v004 cleans alpha<=2 key-color residue from v003.",batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,Batch91 accepted dream entrance portal semantic sprite; Batch94 built-in imagegen source explored animation style; Qr1 UI/style local working copy; no character/body art,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\semantic_sprites\thecat_map_cat_room_dream_portal_animation_frame_07_batch94_candidate_v004.png,517512038fcd2d4e43b18f4503fd3d461c63e8b51b7ca5355a891e7fd1d4854d,512,512,512x512,0-255,candidate_complete_pending_unity_loop_review,map_vfx_animation,7,12,seamless_portal_idle_loop,100,bottom-center,bottom-center,map_interactable_vfx_above_portal,map_interactable_vfx_above_portal,none_animation_overlay_use_static_portal_hitbox,"import as 12 Sprite Single frames or sliced sheet; verify loop jitter, portal scale, sorting, and no collider duplication in cat-room screenshots",candidate_keep_pending_unity_loop_review,v004 final candidate: v003 visual P1 closed with PASS_WITH_P2; v004 production QA PASS_WITH_P2 after alpha<=2 residue cleanup and superseded version isolation. Unity loop/scale/sorting gate remains open.,"80,52,431,438",0,v004,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_chromakey_source_v001.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_interior_mask_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_alpha_sheet_v001.png,procedural_from_stable_batch91_base
thecat_map_cat_room_dream_portal_animation_frame_08_batch94_candidate_v004,dream_portal_idle_loop_frame_08,"Stable Batch91 dream entrance portal shell with loopable inner teal glow, mist, and star twinkles; no character body art. v004 cleans alpha<=2 key-color residue from v003.",batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,Batch91 accepted dream entrance portal semantic sprite; Batch94 built-in imagegen source explored animation style; Qr1 UI/style local working copy; no character/body art,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\semantic_sprites\thecat_map_cat_room_dream_portal_animation_frame_08_batch94_candidate_v004.png,73da5dbc32f0ead67c1ac765240a18f2daf218f96ff317152a6f40f564090853,512,512,512x512,0-255,candidate_complete_pending_unity_loop_review,map_vfx_animation,8,12,seamless_portal_idle_loop,100,bottom-center,bottom-center,map_interactable_vfx_above_portal,map_interactable_vfx_above_portal,none_animation_overlay_use_static_portal_hitbox,"import as 12 Sprite Single frames or sliced sheet; verify loop jitter, portal scale, sorting, and no collider duplication in cat-room screenshots",candidate_keep_pending_unity_loop_review,v004 final candidate: v003 visual P1 closed with PASS_WITH_P2; v004 production QA PASS_WITH_P2 after alpha<=2 residue cleanup and superseded version isolation. Unity loop/scale/sorting gate remains open.,"80,52,431,438",0,v004,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_chromakey_source_v001.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_interior_mask_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_alpha_sheet_v001.png,procedural_from_stable_batch91_base
thecat_map_cat_room_dream_portal_animation_frame_09_batch94_candidate_v004,dream_portal_idle_loop_frame_09,"Stable Batch91 dream entrance portal shell with loopable inner teal glow, mist, and star twinkles; no character body art. v004 cleans alpha<=2 key-color residue from v003.",batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,Batch91 accepted dream entrance portal semantic sprite; Batch94 built-in imagegen source explored animation style; Qr1 UI/style local working copy; no character/body art,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\semantic_sprites\thecat_map_cat_room_dream_portal_animation_frame_09_batch94_candidate_v004.png,acf074a9016e5b96fea3ec2bd313019b777cf3e257ff210b9b8d74cb27e5a5da,512,512,512x512,0-255,candidate_complete_pending_unity_loop_review,map_vfx_animation,9,12,seamless_portal_idle_loop,100,bottom-center,bottom-center,map_interactable_vfx_above_portal,map_interactable_vfx_above_portal,none_animation_overlay_use_static_portal_hitbox,"import as 12 Sprite Single frames or sliced sheet; verify loop jitter, portal scale, sorting, and no collider duplication in cat-room screenshots",candidate_keep_pending_unity_loop_review,v004 final candidate: v003 visual P1 closed with PASS_WITH_P2; v004 production QA PASS_WITH_P2 after alpha<=2 residue cleanup and superseded version isolation. Unity loop/scale/sorting gate remains open.,"80,52,431,438",0,v004,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_chromakey_source_v001.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_interior_mask_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_alpha_sheet_v001.png,procedural_from_stable_batch91_base
thecat_map_cat_room_dream_portal_animation_frame_10_batch94_candidate_v004,dream_portal_idle_loop_frame_10,"Stable Batch91 dream entrance portal shell with loopable inner teal glow, mist, and star twinkles; no character body art. v004 cleans alpha<=2 key-color residue from v003.",batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,Batch91 accepted dream entrance portal semantic sprite; Batch94 built-in imagegen source explored animation style; Qr1 UI/style local working copy; no character/body art,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\semantic_sprites\thecat_map_cat_room_dream_portal_animation_frame_10_batch94_candidate_v004.png,d4cfdfe65efeb79d33ae5eaaabee1e247d844e17a45168c94f963be0a8a1d872,512,512,512x512,0-255,candidate_complete_pending_unity_loop_review,map_vfx_animation,10,12,seamless_portal_idle_loop,100,bottom-center,bottom-center,map_interactable_vfx_above_portal,map_interactable_vfx_above_portal,none_animation_overlay_use_static_portal_hitbox,"import as 12 Sprite Single frames or sliced sheet; verify loop jitter, portal scale, sorting, and no collider duplication in cat-room screenshots",candidate_keep_pending_unity_loop_review,v004 final candidate: v003 visual P1 closed with PASS_WITH_P2; v004 production QA PASS_WITH_P2 after alpha<=2 residue cleanup and superseded version isolation. Unity loop/scale/sorting gate remains open.,"80,52,431,438",0,v004,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_chromakey_source_v001.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_interior_mask_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_alpha_sheet_v001.png,procedural_from_stable_batch91_base
thecat_map_cat_room_dream_portal_animation_frame_11_batch94_candidate_v004,dream_portal_idle_loop_frame_11,"Stable Batch91 dream entrance portal shell with loopable inner teal glow, mist, and star twinkles; no character body art. v004 cleans alpha<=2 key-color residue from v003.",batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,Batch91 accepted dream entrance portal semantic sprite; Batch94 built-in imagegen source explored animation style; Qr1 UI/style local working copy; no character/body art,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\semantic_sprites\thecat_map_cat_room_dream_portal_animation_frame_11_batch94_candidate_v004.png,cbc9d68e2de26f01ff2ff1614077fdefe6333ed6dd3712ebaac458618771e57e,512,512,512x512,0-255,candidate_complete_pending_unity_loop_review,map_vfx_animation,11,12,seamless_portal_idle_loop,100,bottom-center,bottom-center,map_interactable_vfx_above_portal,map_interactable_vfx_above_portal,none_animation_overlay_use_static_portal_hitbox,"import as 12 Sprite Single frames or sliced sheet; verify loop jitter, portal scale, sorting, and no collider duplication in cat-room screenshots",candidate_keep_pending_unity_loop_review,v004 final candidate: v003 visual P1 closed with PASS_WITH_P2; v004 production QA PASS_WITH_P2 after alpha<=2 residue cleanup and superseded version isolation. Unity loop/scale/sorting gate remains open.,"80,52,431,438",0,v004,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_chromakey_source_v001.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_interior_mask_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_alpha_sheet_v001.png,procedural_from_stable_batch91_base
thecat_map_cat_room_dream_portal_animation_frame_12_batch94_candidate_v004,dream_portal_idle_loop_frame_12,"Stable Batch91 dream entrance portal shell with loopable inner teal glow, mist, and star twinkles; no character body art. v004 cleans alpha<=2 key-color residue from v003.",batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,Batch91 accepted dream entrance portal semantic sprite; Batch94 built-in imagegen source explored animation style; Qr1 UI/style local working copy; no character/body art,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\semantic_sprites\thecat_map_cat_room_dream_portal_animation_frame_12_batch94_candidate_v004.png,c43789c10e64d7ebb19b7afff71857e1b1da4da9dbeb6b789d9558fba8f985e4,512,512,512x512,0-255,candidate_complete_pending_unity_loop_review,map_vfx_animation,12,12,seamless_portal_idle_loop,100,bottom-center,bottom-center,map_interactable_vfx_above_portal,map_interactable_vfx_above_portal,none_animation_overlay_use_static_portal_hitbox,"import as 12 Sprite Single frames or sliced sheet; verify loop jitter, portal scale, sorting, and no collider duplication in cat-room screenshots",candidate_keep_pending_unity_loop_review,v004 final candidate: v003 visual P1 closed with PASS_WITH_P2; v004 production QA PASS_WITH_P2 after alpha<=2 residue cleanup and superseded version isolation. Unity loop/scale/sorting gate remains open.,"80,52,431,438",0,v004,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_chromakey_source_v001.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_stable_base_from_batch91_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_interior_mask_v003.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\map\cat_room_dream_portal_animation\batch_94_cat_room_dream_portal_animation_imagegen_2026-06-25\source\thecat_map_cat_room_dream_portal_animation_batch94_alpha_sheet_v001.png,procedural_from_stable_batch91_base
